Sample_No,Sample_ID,Country,Region,Treatment,Plot_ID,Lat,Long,Year,Month,Day,Crop in 2017,Aboveground_biomass,Grain_biomass,Phytometer shoots,Phytometer roots,Total,Sand,Silt,Clay,CEC,MWD,C_tot_%,C_tot_mg,N_tot_%,N_tot_mg,P_tot_mg,P_Olsen,pH,Humus_%,Organic_C_%,CaCO3_%,C_microbial,N_microbial,P_resin,P_microbial,basal_respiration,C_org_mg,mean BD (g/cm3),mean ad (g/cm3),moisture
93,CH21,Switzerland,Zurich,Organic,Marbot (Kosterhof),47.10862,8.17254,2017,5,31,Winter wheat,,,2.69,1.61,4.3,30.82,38.3,27.1,24.9,,48.83,488300,0.308,3080,1348.76,35.17,7.17,3.78,2.19,0.3,1012.306,159.395,14.34533306,48.82609812,0.801416667,21900,0.983859383,0.942556645,0.294117647
94,CH22,Switzerland,Zurich,Conventional,Christoph Frei-Sch?ller,47.5,8.75,2017,5,30,Winter wheat,15086,6860,4.81,2.35,7.16,39.05,30.6,27.4,21.86,,30.39,303900,0.24,2400,1121.33,83.13,7.79,2.95,1.71,4.5,747.684,109.525,44.72710943,30.39086517,1.1538125,17100,0.861762251,0.794827075,0.136363636
95,CH23,Switzerland,Zurich,Grassland,Jules R¨¹ttimann,47.10745,8.20015,2017,5,31,Grassland,,,2.19,1.02,3.21,28.43,29.4,39.8,23.86,,30.03,300300,0.233,2330,781.6,19.61,5.74,2.37,1.38,0.2,827.075,77.519,4.756601756,30.03151332,0.554645833,13800,1.197644169,1.182347187,0.291139241
96,CH24,Switzerland,Zurich,Organic,Erwin Renggli,47.1121,8.17744,2017,5,31,Winter wheat,,,3.14,1.49,4.63,27.79,30.3,37.3,28.69,,51.96,519600,0.4,4000,1139.35,13.79,7.2,4.61,2.67,0.7,1397.396,236.562,3.867594738,51.95964654,1.072770833,26700,0.94758809,0.91766798,0.309278351
97,CH25,Switzerland,Zurich,Conventional,Flavio Ferrari (Strickhof),47.5,8.75,2017,5,30,Winter wheat,16019,7443,2.85,1.88,4.73,30.43,34.8,30.6,29.69,,45.85,458500,0.303,3030,1251.49,68.96,7.61,4.17,2.42,6.7,1080.799,167.962,36.18538631,45.84545455,1.098916667,24200,0.788554175,0.760665135,0.2
98,CH26,Switzerland,Zurich,Grassland,Stefan Elmiger,47.10486,8.18875,2017,5,31,Grassland,,,2.69,0.79,3.48,35.61,30.2,31.1,21.52,,43.35,433500,0.255,2550,778.41,12.7,5.88,3.09,1.79,0.2,866.349,120.333,4.254654854,43.34808294,0.8213125,17900,1.170058216,1.099916691,0.280898876
99,CH27,Switzerland,Zurich,Organic,Thomas Baumann,47.22232,8.04144,2017,6,1,Winter wheat,14403,5759,2.76,2.13,4.89,35.38,35.7,24.6,25.9,,29,290000,0.261,2610,779.67,19.91,6.61,4.32,2.5,0.1,636.078,98.429,11.59273835,28.99947465,0.635791667,25000,1.015992358,1.000897407,0.20212766
100,CH28,Switzerland,Zurich,Conventional,Stefan Elmiger,47.10017,8.18855,2017,5,31,Winter wheat,12047,6996,2.17,0.61,2.78,65.91,23.7,8.6,11.71,,18.17,181700,0.124,1240,802.84,30.21,7.82,1.79,1.04,9.7,496.405,96.691,12.64066753,18.17122889,0.605895833,10400,1.165832143,1.165832143,0.158415842
101,CH29,Switzerland,Zurich,Grassland,Lukas H?usler,47.23071,8.11461,2017,6,1,Grassland,,,2.19,0.99,3.18,50.18,27.4,20.4,17.15,,19.86,198600,0.176,1760,777.63,15.3,5.92,2.02,1.17,0.2,489.931,76.034,5.984384596,19.86416969,0.6063125,11700,1.342768125,1.342768125,0.172043011
102,CH30,Switzerland,Zurich,Organic,Lukas H?usler,47.2351,8.11843,2017,6,1,Winter wheat,,,3.05,2.55,5.6,35.02,41.5,21.2,15.43,,26.55,265500,0.2,2000,932.88,39.66,6.57,2.28,1.32,0.1,532.941,89.33,21.13548982,26.54828273,0.565833333,13200,1.169264151,1.121076809,0.132653061
103,CH31,Switzerland,Zurich,Conventional,Jules R¨¹ttimann,47.10571,8.19356,2017,5,31,Winter wheat,19636,8481,4.06,2.26,6.32,33.65,36.7,24.5,26.55,,35.63,356300,0.412,4120,1502.26,60.37,6.7,5.15,2.99,0.3,1243.125,208.617,25.03514756,35.62929324,0.826416667,29900,1.00870649,1.00870649,0.308641975
104,CH32,Switzerland,Zurich,Grassland,Samuel St¨¹ssi,47.27206,8.30353,2017,6,1,Grassland,,,2.8,1.55,4.35,16.12,41.4,38.8,30.52,,23.18,231800,0.273,2730,863.68,9.2,6,3.68,2.13,0.2,580.129,78.768,4.371759153,23.1842576,0.5913125,21300,1.086390385,1.086390385,0.255813953
105,CH33,Switzerland,Zurich,Organic,St¨¹ssi Samuel,47.2728,8.30359,2017,6,1,Winter wheat,,,2.08,1.57,3.65,28.27,38.2,30.8,21.91,,16.32,163200,0.217,2170,731.58,17.09,7.24,2.73,1.58,0.2,498.923,78.286,10.09346658,16.32190283,0.4528125,15800,1.306935293,1.231962767,0.182795699
106,CH34,Switzerland,Zurich,Conventional,Hansj?rg Salm,47.23487,8.11861,2017,6,1,Winter wheat,,,2.37,1,3.37,35.17,44,18.4,16.03,,11.93,119300,0.202,2020,903.36,46.93,6.94,2.43,1.41,0.2,395.154,50.488,33.12365248,11.93096259,0.356770833,14100,1.091699092,0.981391338,0.157303371
107,CH35,Switzerland,Zurich,Grassland,Michael u. Markus Suter,47.23724,8.13752,2017,6,2,Grassland,,,3.07,1.35,4.42,48.26,24.4,24.6,18.5,,22.54,225400,0.157,1570,886.95,32.6,5.66,2.74,1.59,0.1,506.512,52.144,14.08460235,22.54284038,0.6890625,15900,1.251582391,1.251582391,0.114583333
108,CH36,Switzerland,Zurich,Organic,Stefan V?geli,47.24805,8.6891,2017,6,2,Winter wheat,,,2.49,0.91,3.4,37.5,40.7,19.5,15.14,,24.94,249400,0.162,1620,473.79,10.36,7.18,2.3,1.33,0.3,468.317,78.653,6.406747562,24.94117647,0.613333333,13300,1.236765623,1.168537237,0.139784946
109,CH37,Switzerland,Zurich,Conventional,Michael u. Markus Suter,47.23681,8.13711,2017,6,2,Winter wheat,19015,9485,2.71,4.01,6.72,56.32,26.4,14.7,14.88,,18.62,186200,0.195,1950,1144.18,63.21,7.18,2.58,1.5,0.3,485.521,77.061,41.22671721,18.62208076,0.390079167,15000,1.092148496,0.992806916,0.134831461
110,CH38,Switzerland,Zurich,Grassland,Markus Wietlisbach,47.23342,8.13948,2017,6,2,Grassland,,,2.79,1.74,4.53,29.96,48.8,19.5,12.61,,13.08,130800,0.141,1410,708.12,21.7,6,1.74,1.01,0.2,432,65.208,11.74762713,13.08038246,0.578854167,10100,1.193245375,1.155064282,0.122222222
111,CH39,Switzerland,Zurich,Organic,Andr¨¦ Meyer,47.25465,8.1538,2017,6,2,Winter wheat,11359,4405,1.82,1.21,3.03,37.56,43.1,17.4,14.07,,15.38,153800,0.171,1710,912.68,41.68,6.72,1.94,1.13,0.2,447.927,77.721,27.00651466,15.38080495,0.43,11300,1.156593291,1.111546426,0.210526316
112,CH40,Switzerland,Zurich,Conventional,Markus Wietlisbach,47.23418,8.14152,2017,6,7,Winter wheat,17652,9305,2.74,2.32,5.06,56.17,29,12.9,13.24,,6.11,61100,0.164,1640,926.05,45.4,7.04,1.93,1.12,0.2,397.601,56.403,41.18693971,6.107750314,0.4375,11200,1.189524733,1.07680404,0.096774194
113,CH41,Switzerland,Zurich,Grassland,Fritz Kobel,47.25075,8.8784,2017,6,2,Grassland,,,0.69,0.33,1.02,15.48,39.6,39.8,30.85,,33.13,331300,0.353,3530,562.43,1.4,7.54,5.12,2.97,9.6,1265.499,172.715,0.310046401,33.12597336,1.250520833,29700,1.011662337,0.994445943,0.197802198
114,CH42,Switzerland,Zurich,Organic,Alois Huber,47.2503,8.1058,2017,6,2,Winter wheat,,,2.78,1.09,3.87,40.53,38.4,19.1,13.07,,21.86,218600,0.165,1650,897.66,58.18,6.6,1.97,1.14,0.2,602.388,96.598,42.15023589,21.85757012,0.753645833,11400,1.230950086,1.207516585,0.168539326
115,CH43,Switzerland,Zurich,Conventional,Thomas Huwiler,47.26919,8.16119,2017,6,7,Winter wheat,,,2.7,1.94,4.64,39.3,39.6,18.8,15.1,,10.86,108600,0.187,1870,950.97,55.78,6.85,2.3,1.33,0.3,394.1,67.959,43.02626051,10.85820433,0.413229167,13300,1.022186095,0.958526279,0.245454545
116,CH44,Switzerland,Zurich,Grassland,Thomas Huwiler,47.26851,8.16329,2017,6,6,Grassland,,,1.96,1.35,3.31,19.5,46.8,31.1,16.69,,16.53,165300,0.219,2190,1150.03,56.4,5.63,2.6,1.51,0.2,513.16,77.661,16.73940704,16.53307494,0.522266667,15100,1.024712927,0.977717409,0.26744186
117,CH45,Switzerland,Zurich,Organic,Django Hegglin,47.25673,8.12742,2017,6,6,Winter wheat,,,3.71,1.35,5.06,22.44,33.7,38.1,36.92,,33.86,338600,0.471,4710,1690.23,96.33,7.86,5.76,3.34,9.4,1275.747,191.136,48.28306231,33.86153846,1.2809375,33400,0.802737387,0.712585817,0.291666667
118,CH46,Switzerland,Zurich,Conventional,Thomas Huwiler,47.27135,8.16309,2017,6,7,Winter wheat,17365,9337,2.65,2.34,4.99,35.96,46.7,15.3,14.21,,18.78,187800,0.2,2000,1012.14,39.21,6.31,2.04,1.18,0.3,477.381,74.332,23.34097926,18.77773839,0.5253125,11800,1.035959335,0.971742375,0.252747253
119,CH47,Switzerland,Zurich,Grassland,Django Hegglin,47.25894,8.12633,2017,6,6,Grassland,,,2.52,0.87,3.39,24.54,45.8,26.9,15.08,,27.76,277600,0.207,2070,690.52,40.15,6.36,2.76,1.6,0.2,730.834,110.269,10.36466578,27.76170213,0.813229167,16000,1.156885205,1.083370513,0.191489362
120,CH48,Switzerland,Zurich,Organic,Thomas Ryffel,47.23968,8.34712,2017,6,7,Winter wheat,16015,6535,2.9,2.46,5.36,38.88,36.2,21.7,20.7,,26.39,263900,0.255,2550,997.07,39.3,7.87,3.22,1.87,14.3,752.877,124.185,15.0290987,26.38611738,0.712708333,18700,1.099220516,1.071911286,0.248120301
121,CH49,Switzerland,Zurich,Conventional,Fritz Kobel,47.25326,8.869,2017,6,8,Winter wheat,20536,8574,2.36,1.11,3.47,19.62,56,21.4,18.94,,13.91,139100,0.217,2170,1011.41,59.58,7.3,2.98,1.73,0.5,634.961,99.188,26.66474007,13.91061453,0.579583333,17300,1.153846656,1.121102289,0.25
122,CH50,Switzerland,Zurich,Grassland,Peter Nussbaum,47.23569,8.35444,2017,6,7,Grassland,,,0.63,0.21,0.84,38.13,30.5,25.7,28.19,,59.8,598000,0.427,4270,704.89,6.8,7.49,5.67,3.29,8.6,1499.435,242.423,0.841327439,59.79568298,1.333283333,32900,0.869252797,0.869252797,0.397058824
123,CH51,Switzerland,Zurich,Organic,Peter Nussbaum,47.23526,8.35532,2017,6,8,Winter wheat,14651,6148,3.23,2.43,5.66,50.28,30.7,16.4,15.11,,21.82,218200,0.188,1880,940.08,44.36,6.76,2.62,1.52,0.5,610.818,98.21,31.18244841,21.81796299,0.677291667,15200,1.095675042,1.064303236,0.24137931
124,CH52,Switzerland,Zurich,Conventional,B¨¹hler-Lamprecht,47.2599,8.2409,2017,6,8,Winter wheat,21879,11104,2.38,1.77,4.15,48.04,34,15.9,12.84,,16.54,165400,0.152,1520,575.83,20.35,6.46,2.06,1.19,0.1,431.721,65.143,11.45003261,16.54126045,0.341,11900,1.319697925,1.298985428,0.1953125
125,CH53,Switzerland,Zurich,Grassland,Markus Huber,47.19748,8.45018,2017,6,8,Grassland,,,0.68,0.11,0.79,38.89,34.1,21.7,21.69,,41.89,418900,0.374,3740,1105.18,1.4,6.73,5.31,3.08,0.4,1338.417,198.09,0.785642243,41.89276596,1.045104167,30800,0.95413136,0.924562895,0.276595745
126,CH54,Switzerland,Zurich,Organic,Markus Huber,47.19723,8.45037,2017,6,8,Winter wheat,,,3.84,1.94,5.78,45.39,35.4,16.1,15.72,,31.53,315300,0.233,2330,887.53,7.1,6.12,3.11,1.8,0.1,638.089,98.788,4.947324129,31.5302391,0.542291667,18000,0.957532755,0.887232531,0.222222222
127,CH55,Switzerland,Changins,Conventional,Field Station,46.3987,6.233016,2017,6,7,Winter wheat,NA,3407.5,1.95,1.14,3.09,18.36,50.4,29.1,16.2,,11.87,118700,0.172,1720,864.96,24.76,6.24,2.14,1.24,0.1,370.022,52.026,14.17757655,11.86829932,0.378,12400,1.13547752,1.125480788,0.183673469
128,CH56,Switzerland,Changins,Grassland,Field Station,46.3987,6.233016,2017,6,7,Grassland,,,3.46,1.81,5.27,23.31,46.1,26.5,20.32,,43.02,430200,0.281,2810,877.77,28.36,6.1,4.09,2.37,0,1000.463,138.848,14.03834429,43.02325581,0.879270833,23700,1.151242915,1.151242915,0.233333333
129,CH57,Switzerland,Changins,Conventional,Field Station,46.3987,6.233016,2017,6,7,Winter wheat,11350,6800,2.33,0.99,3.32,31.14,43.6,22.4,15.81,,12.09,120900,0.196,1960,886.36,25.7,7.4,2.86,1.66,0.6,447.914,76.318,14.15025997,12.08514803,0.496145833,16600,1.173365726,1.161799775,0.204918033
130,CH58,Germany,Augsburg,Organic,Christian Matthesius,48.08642,10.41639,2017,6,19,Winter wheat,,,2.3,1.88,4.18,10.46,48.9,35.4,33.17,,18.01,180100,0.378,3780,566.15,20.38,7.91,5.24,3.04,21.1,722.146,100.194,4.799088846,18.01283422,0.9409375,30400,0.998968468,0.998968468,0.235294118
131,CH59,Germany,Augsburg,Organic,Johann Ellenrieder,48.19417,10.37494,2017,6,20,Winter wheat,,,3.28,1.88,5.16,58.27,15.6,22.5,21.47,,21.04,210400,0.287,2870,918.23,23.06,6.25,3.63,2.1,0.2,542.371,80.113,10.37366559,21.04492116,0.676979167,21000,1.140964598,1.140964598,0.231481481
132,CH60,Germany,Augsburg,Organic,Florian and Johannes Pf?nder,48.11282,10.43511,2017,6,20,Winter wheat,,,3.02,1.24,4.26,8,50.1,37.8,29.22,,13.56,135600,0.331,3310,544.19,14.96,8.06,4.1,2.38,28.5,691.646,98.154,1.631081389,13.56309175,0.812916667,23800,0.890034048,0.882552357,0.351948052
133,CH61,Germany,Augsburg,Organic,Martin Tr?bersberger,48.01373,10.4564,2017,6,21,Winter wheat,,,2.11,1.12,3.23,18.51,61,18.7,12.77,,17.39,173900,0.127,1270,768.05,38,6.12,1.79,1.04,0.3,334.464,51.476,17.91160689,17.39022484,0.387083333,10400,1.148406047,1.148406047,0.269303998
134,CH62,Germany,Landshut,Organic,Hermann Brunner,48.3742,12.49634,2017,6,27,Winter wheat,,,2,1.08,3.08,22.6,52,23,18.1,,14.78,147800,0.176,1760,847.25,46.14,7.18,2.4,1.39,0.3,472.314,70.651,32.71652611,14.77865189,0.672,13900,1.150690875,1.150690875,0.113333333
135,CH63,Germany,Landshut,Organic,Josef Wasmeier,48.39559,12.46736,2017,6,27,Winter wheat,,,1.84,1.08,2.92,11.09,53.9,33.1,20.27,,8.76,87600,0.143,1430,457.08,9.8,7.43,1.91,1.11,0.6,339.993,45.851,6.056682916,8.763320942,0.4678125,11100,1.200461172,1.200461172,0.126865672
136,CH64,Germany,Landshut,Organic,Stefan und Adrian Jahrstorfer,48.38856,12.54012,2017,6,28,Winter wheat,,,1.82,1.03,2.85,18.34,59,20.6,15.42,,5.55,55500,0.142,1420,809.63,70.55,6.98,2.06,1.19,0.6,334.904,52.348,52.86574459,5.545263374,0.343125,11900,1.270759274,1.270759274,0.126865672
137,CH65,Germany,Landshut,Organic,Apfelbeck,48.45122,12.49452,2017,6,28,Winter wheat,,,2.31,1.47,3.78,30.82,47.8,19.7,12.66,,6.28,62800,0.128,1280,659.78,89.99,6.96,1.68,0.98,0.3,298.618,42.774,47.56644341,6.278128951,0.358,9800,1.333792271,1.333792271,0.083333333
138,CH66,Germany,Augsburg,Conventional,Diverse neighbour of Christian Matthesius,48.08834,10.45663,2017,6,19,Winter wheat,,,2.26,1.76,4.02,34.4,37.2,26.2,20.36,,9.87,98700,0.164,1640,735.69,43.93,7.79,2.2,1.28,4.6,371.311,58.247,21.44980726,9.871972318,0.4925,12800,1.219799135,1.219799135,0.125
139,CH67,Germany,Augsburg,Conventional,Herr R. (biogas neighbour of Christian Matthesius),48.9564,10.45672,2017,6,19,Winter wheat,,,2.53,1.65,4.18,34.74,38,24.6,18.87,,11.7,117000,0.189,1890,893.98,96.4,7.68,2.66,1.54,0.7,471.721,79.975,48.82427761,11.70183563,0.5975,15400,1.252769036,1.252769036,0.129533679
140,CH68,Germany,Augsburg,Conventional,Johann Stegmann,48.09583,10.43752,2017,6,21,Winter wheat,,,3,1.65,4.65,36.58,37,23.7,17.48,,14.86,148600,0.2,2000,615.52,36.21,7.33,2.72,1.58,0.4,443.059,76.428,22.24727747,14.86084142,0.421875,15800,1.164559447,1.149627084,0.106796117
141,CH69,Germany,Augsburg,Conventional,Hermann Schorer,48.12433,10.4672,2017,6,21,Winter wheat,,,2.46,1.38,3.84,31.52,43.3,23.6,15.86,,10.57,105700,0.143,1430,559.7,33.32,7.49,1.58,0.92,0.4,306.308,47.581,16.31568638,10.56813203,0.3675,9200,1.245780861,1.245780861,0.097560976
142,CH70,Germany,Landshut,Conventional,Sebastian Dickow,48.36701,12.36538,2017,6,27,Winter wheat,,,2.11,1.27,3.38,14.8,59.4,23.5,17.45,,13.37,133700,0.174,1740,684.91,28.81,7.48,2.3,1.34,0.4,455.533,69.62,14.35172876,13.37456019,0.491979167,13400,1.250801244,1.250801244,0.132743363
143,CH71,Germany,Landshut,Conventional,Ludwig Stangl,48.38677,12.50414,2017,6,28,Winter wheat,,,1.82,0.72,2.54,14.62,58.9,24.2,17.34,,16.35,163500,0.165,1650,964.27,85.4,7.13,2.28,1.32,0.2,357.311,49.925,53.96664683,16.35224668,0.423541667,13200,1.254909988,1.254909988,0.112299465
144,CH72,Germany,Landshut,Conventional,Karl Steinbeisser,48.38563,12.50077,2017,6,28,Winter wheat,,,5.22,3.4,8.62,19.3,43,32.9,36.42,,13.8,138000,0.378,3780,1346.22,118.02,7.02,4.8,2.78,0.3,755.373,104.398,64.32930411,13.79907834,0.572395833,27800,0.995833197,0.991426433,0.225806452
145,CH73,Germany,Landshut,Conventional,Sicheneder,48.3854,12.47405,2017,6,28,Winter wheat,,,1.93,0.8,2.73,7.98,59.5,30.8,16.79,,6.85,68500,0.14,1400,573.14,28.7,8.03,1.72,1,11.2,400.456,64.41,13.16238547,6.853580612,0.542083333,10000,1.311309407,1.311309407,0.12195122
146,CH74,Germany,Augsburg,Grassland,Christian Matthesius,48.09385,10.45935,2017,6,19,Grassland,,,2.15,1.78,3.93,25.42,47.2,24.8,19.6,,19.66,196600,0.203,2030,784,52.37,7.45,2.58,1.49,1.1,633.265,97.366,24.56644592,19.66173891,0.837891667,14900,1.204075459,1.193280101,0.134615385
147,CH75,Germany,Augsburg,Grassland,Johann Ellenrieder,48.18931,10.38544,2017,6,20,Grassland,,,2.79,1.85,4.64,68.11,10.5,18.8,15.7,,29.59,295900,0.185,1850,583.09,8.7,5.83,2.59,1.5,0.3,564.382,79.885,2.302985995,29.58792712,0.5875,15000,1.087666791,1.087666791,0.149425287
148,CH76,Germany,Augsburg,Grassland,Florian and Johannes Pf?nder,48.11496,10.43567,2017,6,20,Grassland,,,1.62,0.74,2.36,39.57,38.3,17.2,24.06,,68.3,683000,0.354,3540,528.45,7.3,7.78,4.93,2.86,30.5,1447.89,233.828,0.970681711,68.30026723,1.124895833,28600,1.086707405,1.086707405,0.226415094
149,CH77,Germany,Augsburg,Grassland,Martin Tr?bersberger,48.03461,10.46439,2017,6,21,Grassland,,,2.7,0.98,3.68,25.24,36.7,26.2,55.31,,65.44,654400,0.708,7080,994.52,10.63,6.02,11.86,6.87,0.3,2340.861,265.336,2.958143233,65.44233501,1.36875,68700,0.824663247,0.824663247,0.193648087
150,CH78,Germany,Augsburg,Grassland,Johann Stegmann,48.09841,10.43527,2017,6,21,Grassland,,,3.87,1.66,5.53,35.5,33.6,27.3,19.91,,35.83,358300,0.252,2520,530.46,5.8,6.41,3.6,2.09,0.2,697.48,100.606,2.996288834,35.83286918,0.717395833,20900,1.285864988,1.285864988,0.163461538
151,CH79,Germany,Landshut,Grassland,Loibl,48.38226,12.48215,2017,6,27,Grassland,,,2.65,0.72,3.37,25.55,41.8,27.6,36.93,,50.18,501800,0.417,4170,603.17,5.4,5.97,5.05,2.93,0.1,1311.064,128.336,1.872592504,50.18392643,0.9490375,29300,1.166980065,1.166980065,0.262295082
152,CH80,Germany,Landshut,Grassland,Ludwig Stangl,48.3882,12.4996,2017,6,28,Grassland,,,3.44,1.47,4.91,15.65,53.6,27.7,18.42,,31.58,315800,0.207,2070,651.45,27.34,5.89,3.05,1.77,0.1,693.362,113.894,11.77317353,31.57660167,0.658958333,17700,1.151084394,1.130934017,0.181818182
153,CH81,Germany,Landshut,Grassland,Apfelbeck,48.44417,12.49166,2017,6,28,Grassland,,,3.06,1.18,4.24,40.91,25.4,26.3,42,,62.28,622800,0.533,5330,644.2,30.85,7.7,7.39,4.29,13.3,1516.348,265.5,7.156295286,62.27601777,1.484791667,42900,1.047424859,1.024760481,0.289855072
154,CH82,Germany,Landshut,Grassland,Hermann Brunner,48.37368,12.50009,2017,6,28,Grassland,,,2.93,1.1,4.03,33.53,27.7,29.5,31.54,,34.6,346000,0.228,2280,402.57,1.8,7.11,9.27,5.37,1.6,957.525,113.094,1.167026418,34.59826635,1.516770833,53700,1.271443339,1.258017966,0.159574468
155,GE1,Germany,Kiel,Grassland,GRASS01,54.312207,9.97513,,,,,,,2.45,1.87,4.32,62.05,22.7,13.5,12.37,,18.02,180200,0.131,1310,807.92,49.31,6.05,1.75,1.01,0.1,403.219,69.505,23.74487472,18.02035015,0.573645833,10100,1.597762109,1.53305157,0.114996638
156,GE4,Germany,Kiel,Grassland,GRASS02,54.313022,9.98467,,,,,,,4.06,2.47,6.53,56.32,20.5,20.7,13.58,,20.6,206000,0.15,1500,643.46,28.5,5.75,2.48,1.44,0.3,455.906,77.713,9.988392529,20.60489942,0.589453125,14400,1.521814306,1.493189376,0.137044271
157,GE7,Germany,Kiel,Grassland,GRASS03,54.314827,9.98646,,,,,,,2.12,2.13,4.25,62.39,22.9,12.8,14.12,,15.99,159900,0.163,1630,712.8,24.21,6.16,1.91,1.11,0.2,392.414,72.072,8.484151709,15.9857495,0.476536458,11100,1.52314924,1.503117015,0.145380935
158,GE10,Germany,Kiel,Grassland,GRASS04,54.311646,9.99885,,,,,,,3.37,1.67,5.04,54.73,23.3,19.8,7.25,,16.1,161000,0.145,1450,698.63,34.66,6.34,2.17,1.26,0.2,366.744,62.916,14.47458505,16.09851092,0.454036458,12600,1.545386925,1.505867602,0.179128221
159,GE13,Germany,Kiel,High,Bockberg links,54.31162,9.98116,,,,,,,2.76,0.9,3.66,64.1,23.4,11.2,13.98,,5.72,57200,0.101,1010,616.3,55,7.56,1.3,0.75,0.4,244.926,42.652,29.0995789,5.719068069,0.348723958,7500,1.532692094,1.515512484,0.110350982
160,GE16,Germany,Kiel,High,Bockberg rechts,54.312154,9.979049,,,,,,,2.45,1.27,3.72,50.92,26.3,20.8,13,,10.59,105900,0.114,1140,597.18,44.55,6.9,1.98,1.15,0.2,314.047,51.563,15.55582978,10.58560343,0.412578125,11500,1.566986951,1.547311508,0.108910891
161,GE19,Germany,Kiel,High,Fegefeuer,54.31663,9.998858,,,,,,,3.26,2.89,6.15,63.54,16.3,18.1,13.17,,3.22,32200,0.12,1200,703.5,58.76,7.23,2.06,1.19,0.2,283.58,49.263,33.731889,3.217539355,0.302890625,11900,1.567863824,1.512768523,0.130997475
162,GE22,Germany,Kiel,High,Hint. H¨¹ttenkrog,54.313605,9.997345,,,,,,,3.89,3.7,7.59,65.71,17.7,14.5,12.13,,8.62,86200,0.116,1160,751.91,49.09,7.12,2.09,1.21,0.2,319.015,55.054,28.79573917,8.61861884,0.374661458,12100,1.47113981,1.373717292,0.097360302
163,GE25,Germany,Kiel,High,Nordtrasse,54.318436,9.990228,,,,,,,2.57,2,4.57,55.62,21.6,20.6,13.6,,7.91,79100,0.126,1260,568.52,29.51,7.19,2.18,1.26,0.2,292.317,51.345,17.46344418,7.911304598,0.311953125,12600,1.536072383,1.494618297,0.144741802
164,GE28,Germany,Kiel,High,Vord. H¨¹ttenkrog,54.315818,9.986797,,,,,,,3.17,2.79,5.96,58.03,23,17.1,12.71,,8.08,80800,0.11,1100,610.08,35.34,7.43,1.87,1.09,0.3,290.151,54.008,18.05611166,8.083406952,0.349348958,10900,1.434239816,1.406028608,0.133707494
165,GE31,Germany,Kiel,Low,V68-3,54.312005,9.976471,,,,,,,2.47,2.97,5.44,52.38,27.4,18.8,12.43,,4.51,45100,0.099,990,621.16,37.47,7.01,1.42,0.82,0.2,208.744,31.69,23.92711937,4.514003407,0.266640625,8200,1.528238986,1.465546707,0.089188322
166,GE34,Germany,Kiel,Low,V68-4,54.312008,9.976011,,,,,,,1.77,1.67,3.44,49.93,30.8,17.7,12.23,,2.68,26800,0.106,1060,660.73,41.53,7.05,1.57,0.91,0.4,200.702,34.426,27.38815159,2.683658787,0.2590625,9100,1.542880803,1.512599853,0.100719424
167,GE37,Germany,Kiel,Low,V68-5,54.312146,9.975575,,,,,,,2.93,2.64,5.57,57.27,26,15,10.39,,0.05,500,0.114,1140,652.18,43.21,7.13,1.73,1,0.1,203.574,29.03,27.77758269,0.04760726,0.243125,10000,1.553500474,1.544594309,0.099727706
168,GE40,Germany,Kiel,Low,V98-2,54.3127,9.998685,,,,,,,2.92,2.48,5.4,59.4,19.1,19.3,11.61,,7.45,74500,0.115,1150,587.01,32.85,6.89,2.2,1.27,0.3,207.2,35.326,16.49702945,7.44716781,0.228203125,12700,1.507584864,1.485831229,0.107541899
169,GE43,Germany,Quillow,Grassland,GRASS-BAAD02,53.349999,13.74359,,,,,,,4.51,3.34,7.85,64.23,16.2,12.6,32.98,,,,0.453,4530,837.69,38.17,7.75,6.97,4.04,1.5,850.135,166.034,,,1.187239583,40400,1.289154923,1.289154923,0.268350168
170,GE46,Germany,Quillow,Grassland,GRASS-BABJ12,53.365754,13.720488,,,,,,,3.57,1.16,4.73,68.54,15.7,13.5,8.8,,10.73,107300,0.13,1300,445.33,40.23,6.98,2.26,1.31,0.2,392.29,68.27,22.40629007,10.73350759,0.506223958,13100,1.302911417,1.302911417,0.060402685
171,GE49,Germany,Quillow,Grassland,GRASS-BAGA16,53.334467,13.646029,,,,,,,2.77,1.78,4.55,63.15,19.9,13.7,10.7,,13.71,137100,0.158,1580,495.25,39.7,7.24,3.25,1.88,0.6,519.3,89.31,20.47135752,13.70819241,0.760494792,18800,1.443320762,1.429960407,0.084673748
172,GE52,Germany,Quillow,Grassland,GRASS-BAQU07,53.324188,13.780387,,,,,,,3.49,4.29,7.78,80.53,8.4,8.8,7.08,,10.12,101200,0.104,1040,461.52,14.34,7.99,2.27,1.32,4.2,356.16,61.15,4.769398113,10.11611062,0.620208333,13200,1.267756984,1.212646453,0.045955882
173,GE55,Germany,Quillow,Grassland,GRASS-BAQU10,53.343022,13.789101,,,,,,,2.65,2.74,5.39,83.45,7.6,7.6,6.55,,7.84,78400,0.087,870,510.14,57.02,7.33,1.35,0.78,0.3,313.23,56.19,30.54285621,7.836479726,0.367786458,7800,1.557346942,1.557346942,0.034431582
174,GE58,Germany,Quillow,High,BAAD021,53.350577,13.743945,,,,,,,3.56,2.16,5.72,63.93,22.3,12.2,8.63,,9.85,98500,0.104,1040,347.37,10.31,7.16,1.57,0.91,0.4,282.85,43.61,4.516313415,9.85382221,0.351354167,9100,1.582547545,1.544819663,0.078351712
