Sample_No,Sample_ID,Country,Region,Treatment,Plot_ID,Lat,Long,Year,Month,Day,Crop in 2017,Aboveground_biomass,Grain_biomass,Phytometer shoots,Phytometer roots,Total,Sand,Silt,Clay,CEC,MWD,C_tot_%,C_tot_mg,N_tot_%,N_tot_mg,P_tot_mg,P_Olsen,pH,Humus_%,Organic_C_%,CaCO3_%,C_microbial,N_microbial,P_resin,P_microbial,basal_respiration,C_org_mg,mean BD (g/cm3),mean ad (g/cm3),moisture
29,SP29,Spain,Catalu?a,High ,Calaf,41.74506,1.511950509,,,,,,,3.09,1.22,4.31,25.00500792,50.0098935,22.42509858,17.52,,13.79,137900,0.191,1910,1077.94,11.21,7.87,2.56,1.48,29.3,589.422,56.814,7.32471359,13.79378191,0.883229167,14800,1.30771637,1.215447202,0.072072072
30,SP30,Spain,Catalu?a,Low ,Calaf,41.74491,1.511196403,,,,,,,4.11,1.85,5.96,23.4870264,51.67708973,22.42588386,18.45,,8.16,81600,0.183,1830,816.61,11.42,7.86,2.41,1.4,34.2,492.25,47,7.251249364,8.155403557,0.880104167,14000,1.303990976,1.273952559,0.058823529
31,SP31,Spain,Catalu?a,Grassland,Vall¨¦s,41.65835252,2.319920379,,,,,,,3.4,2.12,5.52,71.42155766,16.47058686,9.607855483,12.82,,8.89,88900,0.18,1800,704.79,26.27,7.85,2.5,1.45,7.7,604.145,91.123,12.90356087,8.888813846,0.735729167,14500,1.352968804,1.321585299,0.038834951
32,SP32,Spain,Catalu?a,High ,Vall¨¦s,41.65816571,2.329518782,,,,,,,1.84,1.17,3.01,56.59338776,25.46409711,16.52251512,14.26,,4.64,46400,0.117,1170,471,10.4,8.04,1.42,0.82,6.7,299.403,41.728,3.201619178,4.64059446,0.44875,8200,1.568898098,1.503666193,0.045112782
33,SP33,Spain,Catalu?a,Low ,Vall¨¦s,41.65832,2.319836689,,,,,,,4.7,2.72,7.42,53.49846917,24.02921888,19.99231195,16.41,,16.27,162700,0.187,1870,1206.21,115.58,7.98,2.48,1.44,8.9,376.329,35.415,74.47605922,16.26955307,0.82125,14400,1.533773035,1.501147726,0.03125
34,FR1,France,Auzeville,High,ZS,43.529,1.5015,,,,,,,2.43,1.33,3.76,44.2,29.5,24.9,18.14,,4.83,48300,0.108,1080,430.22,31.13,7.34,1.44,0.83,0.1,248.408,38.556,10.56508957,4.826839602,0.4096625,8300,1.26537009,1.212657331,0.115555556
35,FR2,France,Auzeville,Low,LA5,43.5346,1.4987,,,,,,,2.32,1.02,3.34,30.9,32.1,35.9,18.29,,5.46,54600,0.107,1070,291.96,6.04,6.68,1.13,0.66,0,223.125,35.271,0.854987411,5.458843749,0.185808333,6600,1.320157878,1.292496405,0.143820225
36,FR3,France,Auzeville,Grassland,BE,43.5346,1.4986,,,,,,,2.03,0.99,3.02,35.6,37.1,25.4,19.77,,16.86,168600,0.152,1520,397.1,12.96,6.84,1.94,1.13,0.1,483.596,79.948,2.52153496,16.85757959,0.5909125,11300,1.527338466,1.527338466,0.133182844
37,FR4,France,Auzeville,High,Pommier Nord,43.647444,3.884251,,,,,,,2.24,0.75,2.99,34.3,43,21,16.26,,5.64,56400,0.125,1250,143.97,24.37,7.98,1.7,0.99,57.6,255.162,36.723,4.618812636,5.643697479,0.5052875,9900,1.212333892,1.192795321,0.095238095
38,FR5,France,Auzeville,Low ,Martinet,43.647151,3.88559,,,,,,,2.03,0.99,3.02,29,48.6,20.4,20.14,,4.81,48100,0.142,1420,74.5,12.8,7.91,1.97,1.14,62.2,265.066,35.392,2.381107824,4.808658943,0.591954167,11400,1.263343303,1.246109135,0.076759062
39,FR6,France,Auzeville,Grassland,BE,43.6483,3.8829,,,,,,,2.14,1.12,3.26,69,11.8,16.4,13.52,,6.03,60300,0.151,1510,0.43,21.91,7.8,2.77,1.6,90.8,376.714,70.045,13.84899775,6.032355556,0.955079167,16000,1.084126031,1.062953058,0.108888889
40,FR7,France,Maugio,High,MA9,43.6167,3.974,,,,,,,2.2,1.22,3.42,39.4,31.3,27.9,22.22,,3.07,30700,0.101,1010,443.12,18.16,8.03,1.43,0.83,35.2,182.668,21.956,6.204604924,3.065157541,0.499558333,8300,1.238631141,1.238631141,0.072805139
41,FR8,France,Maugio,High,MA7B2,43.615902,3.976568,,,,,,,2.11,1.17,3.28,32.3,34.9,31.3,24.09,,2.27,22700,0.112,1120,405.35,19.95,8.01,1.49,0.86,39.2,205.226,18.588,5.12826499,2.272885106,0.530277778,8600,1.460504425,1.460504425,0.068085106
42,FR9,France,Maugio,High,MA8,43.61605,3.975727,,,,,,,1.75,0.83,2.58,35.4,33.2,30,19.92,,3.78,37800,0.1,1000,505.77,22.07,7.97,1.41,0.82,33.8,181.175,16.483,7.828346241,3.776649345,0.5059125,8200,1.482286172,1.482286172,0.063424947
43,FR10,France,Maugio,Low ,MA6,43.615201,3.975673,,,,,,,1.37,0.67,2.04,21.3,42.8,34.5,22.58,,2.09,20900,0.094,940,348.57,18.5,8.05,1.41,0.82,42.2,218.945,19.158,6.993096723,2.091018057,0.4031,8200,1.378946504,1.378946504,0.087982833
44,FR11,France,Maugio,Low ,CA28A,43.6139,3.97918,,,,,,,2.31,1.84,4.15,38,33.6,27.2,17.34,,2.03,20300,0.092,920,349.3,12.62,8.09,1.18,0.68,36.7,128.378,14.799,2.846097002,2.028784692,0.453620833,6800,1.236740011,1.236740011,0.063559322
45,FR12,France,Maugio,Grassland,MA9J,43.6173,3.9749,,,,,,,2.87,1.36,4.23,40.9,35.6,21.6,16.87,,6.44,64400,0.111,1110,585.33,25.57,7.96,1.86,1.08,34,289.385,29.678,8.36432455,6.436754207,0.979558333,10800,1.54248117,1.54248117,0.070663812
46,FR13,France,Fenay,High,1411,47.1357,5.53039,,,,,,,2.33,1.27,3.6,10.9,46.5,40.1,37.42,,4.02,40200,0.173,1730,416.94,11.13,7.87,2.5,1.45,0.5,349.617,34.067,1.121239115,4.022137903,0.658204167,14500,1.09875731,1.062637128,0.140077821
47,FR14,France,Fenay,Low ,1351,47.135861,5.52108,,,,,,,1.64,1.09,2.73,10.4,52.8,34.4,30.47,,7.44,74400,0.155,1550,676.28,34.29,7.83,2.37,1.37,3.7,266.016,32.186,9.660121551,7.443864964,0.652579167,13700,1.179028588,1.161306883,0.119733925
48,FR15,France,Fenay,Low ,1321,47.131621,5.53161,,,,,,,2.92,2,4.92,6.8,55,36.3,25.61,,4.25,42500,0.13,1300,570.8,30.95,6.5,1.88,1.09,0.4,245.286,18.886,17.32522463,4.247957812,0.304,10900,1.196614982,1.196614982,0.098684211
49,FR16,France,Fenay,Low ,1306,47.133361,5.45433,,,,,,,2.03,1.35,3.38,13.3,53.2,31.9,25.66,,3.1,31000,0.117,1170,442.34,29.34,6.9,1.59,0.92,0.3,176.473,14.255,16.90450649,3.101796041,0.257995833,9200,1.219214485,1.219214485,0.093167702
50,FR17,France,Fenay,Low ,1064,47.133872,5.33897,,,,,,,1.71,0.91,2.62,14.3,54.4,26.4,34.4,,9.89,98900,0.317,3170,873.08,21.59,7.9,4.89,2.83,52.4,487.691,76.736,1.571587723,9.893469922,0.667058333,28300,1.061725596,1.061725596,0.162895928
51,FR18,France,Fenay,High,1246,47.143577,5.35308,,,,,,,2.21,1.7,3.91,13.2,54.4,30.4,25.81,,1.2,12000,0.141,1410,750.85,55.21,7.1,1.99,1.15,0.4,252.577,29.472,45.0582212,1.198873986,0.4046875,11500,1.204041579,1.204041579,0.096969697
52,FR19,France,Fenay,Grassland,C +,47.134469,5.42659,,,,,,,1.39,0.35,1.74,14.8,46.6,36.2,26.43,,11.32,113200,0.161,1610,499.38,16.55,7.77,2.42,1.4,37,683.302,92.715,2.725520037,11.32096349,1.021354167,14000,1.036173794,1.036173794,0.141129032
53,FR20,France,Fenay,Grassland,C +,47.13395,5.4291,,,,,,,2.95,1.25,4.2,18.2,42,35.2,33.93,,33.82,338200,0.265,2650,866.37,36.08,7.53,4.62,2.68,34.2,1092.208,152.746,11.69089718,33.820434,1.649166667,26800,1.052695888,1.013423469,0.183098592
